Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Revenue Category,Customer demographics,Stock levels,Stock Status,Lead times,Order quantities,Shipping times,Shipping Efficiency,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates(0-5 scale),Defect rates(0-1 Scale),Defect Flag,Transportation modes,Routes,Costs,Profit Indicator,,
Skincare,SKU13,16.1603933,5,249,4052.7384162,Medium,Male,80,Medium Stock,8,48,9,Delayed,Carrier A,9.5372831,Supplier 5,Bangalore,23,173,10,97.8290501,Pending,1.631,0.326,Acceptable,Road,Route B,547.2410052,3945.372083,,
Skincare,SKU14,99.1713286,26,562,8653.5709265,High,Non-Binary,54,Medium Stock,29,78,5,On Time,Carrier B,2.0397702,Supplier 1,Kolkata,25,558,14,5.7914366,Pending,0.101,0.020,Acceptable,Air,Route B,929.2352900,8645.739720,,
Skincare,SKU15,36.9892449,94,469,5442.0867854,High,Non-Binary,9,Low Stock,8,69,7,On Time,Carrier B,2.4220397,Supplier 1,Bangalore,14,580,7,97.1212818,Pass,2.264,0.453,Acceptable,Sea,Route B,127.8618000,5342.543464,,
Skincare,SKU16,7.5471721,74,280,6453.7979682,High,Female,2,Low Stock,5,78,1,On Time,Carrier B,4.1913246,Supplier 1,Bangalore,3,399,21,77.1063425,Pass,1.013,0.203,Acceptable,Air,Route A,865.5257798,6372.500301,,
Cosmetics,SKU17,81.4625344,82,126,2629.3964348,Medium,Female,45,Low Stock,17,85,9,On Time,Carrier C,3.5854190,Supplier 1,Chennai,7,453,16,47.6796804,Fail,0.102,0.020,Acceptable,Air,Route C,670.9343908,2578.131336,,
Haircare,SKU18,36.4436278,23,620,9364.6735051,High,Unknown,10,Low Stock,10,46,8,On Time,Carrier C,4.3392247,Supplier 2,Kolkata,18,374,17,27.1079809,Pending,2.232,0.446,Acceptable,Sea,Route A,593.4802587,9333.226300,,
Skincare,SKU19,51.1238701,100,187,2553.4955850,Medium,Unknown,48,Low Stock,11,94,3,On Time,Carrier A,4.7426359,Supplier 4,Chennai,20,694,16,82.3733206,Fail,3.646,0.729,High Defect,Road,Route C,477.3076311,2466.379629,,
Skincare,SKU20,96.3410724,22,320,8128.0276969,High,Unknown,27,Low Stock,12,68,6,On Time,Carrier A,8.8783347,Supplier 1,Chennai,29,309,6,65.6862596,Pass,4.231,0.846,High Defect,Air,Route B,493.8712153,8053.463103,,
Cosmetics,SKU21,84.8938690,60,601,7087.0526964,High,Unknown,69,Medium Stock,25,7,6,On Time,Carrier B,6.0378838,Supplier 5,Chennai,19,791,4,61.7357290,Pending,0.019,0.004,Acceptable,Air,Route C,523.3609147,7019.279084,,
Haircare,SKU22,27.6797809,55,884,2390.8078666,Medium,Unknown,71,Medium Stock,1,63,10,Delayed,Carrier A,9.5676489,Supplier 4,Kolkata,22,780,28,50.1208396,Fail,2.591,0.518,High Defect,Rail,Route C,205.5719958,2331.119378,,
Cosmetics,SKU23,4.3243412,30,391,8858.3675710,High,Unknown,84,Medium Stock,5,29,7,Delayed,Carrier A,2.9248576,Supplier 5,Kolkata,11,568,29,98.6099572,Pending,1.342,0.268,Acceptable,Rail,Route A,196.3294461,8756.832756,,
Haircare,SKU24,4.1563084,32,209,9049.0778609,High,Male,4,Low Stock,26,2,8,On Time,Carrier C,9.7412917,Supplier 2,Bangalore,28,447,3,40.3823597,Pending,3.691,0.738,High Defect,Air,Route A,758.7247726,8998.954210,,
Haircare,SKU25,39.6293440,73,142,2174.7770544,Medium,Male,82,Medium Stock,11,52,3,On Time,Carrier C,2.2310737,Supplier 4,Kolkata,19,934,23,78.2803831,Pending,3.797,0.759,High Defect,Road,Route B,458.5359457,2094.265598,,
Haircare,SKU26,97.4469466,9,353,3716.4933259,Medium,Male,59,Medium Stock,16,48,4,On Time,Carrier B,6.5075486,Supplier 2,Bangalore,26,171,4,15.9722298,Pass,2.119,0.424,Acceptable,Rail,Route A,617.8669165,3694.013548,,
Cosmetics,SKU27,92.5573608,42,352,2686.4572236,Medium,Unknown,47,Low Stock,9,62,8,On Time,Carrier C,7.4067510,Supplier 5,Mumbai,25,291,4,10.5282451,Fail,2.865,0.573,High Defect,Sea,Route B,762.4591822,2668.522228,,
Cosmetics,SKU28,2.3972747,12,394,6117.3246151,High,Female,48,Low Stock,15,24,4,On Time,Carrier B,9.8981405,Supplier 1,Mumbai,13,171,7,59.4293818,Fail,0.816,0.163,Acceptable,Air,Route A,123.4370275,6047.997093,,
Cosmetics,SKU29,63.4475592,3,253,8318.9031946,High,Female,45,Low Stock,5,67,7,Delayed,Carrier B,8.1009731,Supplier 1,Kolkata,16,329,7,39.2928756,Pass,3.878,0.776,High Defect,Road,Route B,764.9353759,8271.509346,,
Haircare,SKU30,8.0228592,10,327,2766.3423669,Medium,Male,60,Medium Stock,26,35,7,On Time,Carrier B,8.9545283,Supplier 4,Kolkata,27,806,30,51.6348934,Pending,0.965,0.193,Acceptable,Road,Route C,880.0809882,2705.752945,,
Skincare,SKU31,50.8473931,28,168,9655.1351027,High,Male,6,Low Stock,17,44,4,On Time,Carrier B,2.6796610,Supplier 3,Chennai,24,461,8,60.2511457,Pending,2.989,0.598,High Defect,Rail,Route C,609.3792066,9592.204296,,
Skincare,SKU32,79.2099360,43,781,9571.5504873,High,Unknown,89,Medium Stock,13,64,4,On Time,Carrier C,6.5991049,Supplier 3,Kolkata,30,737,7,29.6924672,Pass,1.946,0.389,Acceptable,Road,Route A,761.1739095,9535.258915,,
Cosmetics,SKU33,64.7954350,63,616,5149.9983504,High,Non-Binary,4,Low Stock,17,95,9,On Time,Carrier C,4.8582705,Supplier 5,Chennai,1,251,23,23.8534275,Fail,3.541,0.708,High Defect,Sea,Route A,371.2552955,5121.286652,,
Skincare,SKU34,37.4675923,96,602,9061.7108955,High,Unknown,1,Low Stock,26,21,7,On Time,Carrier A,1.0194876,Supplier 1,Chennai,4,452,10,10.7542728,Pass,0.647,0.129,Acceptable,Road,Route B,510.3580004,9049.937135,,
Cosmetics,SKU35,84.9577868,11,449,6541.3293448,High,Female,42,Low Stock,27,85,8,On Time,Carrier C,5.2881900,Supplier 1,Delhi,3,367,2,58.0047870,Pass,0.541,0.108,Acceptable,Sea,Route C,553.4204712,6478.036368,,
Skincare,SKU36,9.8130026,34,963,7573.4024578,High,Female,18,Low Stock,23,28,3,On Time,Carrier B,2.1079513,Supplier 2,Delhi,26,671,19,45.5313642,Fail,3.806,0.761,High Defect,Air,Route C,403.8089742,7525.763142,,
Skincare,SKU37,23.3998448,5,963,2438.3399305,Medium,Female,25,Low Stock,8,21,9,Delayed,Carrier A,1.5326553,Supplier 3,Kolkata,24,867,15,34.3432775,Pending,2.610,0.522,High Defect,Sea,Route A,183.9329680,2402.463998,,
Cosmetics,SKU38,52.0759307,75,705,9692.3180402,High,Non-Binary,69,Medium Stock,1,88,5,Delayed,Carrier B,9.2359314,Supplier 5,Mumbai,10,841,12,5.9306936,Pending,0.613,0.123,Acceptable,Air,Route B,339.6728699,9677.151415,,
Skincare,SKU39,19.1274773,26,176,1912.4656631,Low,Female,78,Medium Stock,29,34,3,On Time,Carrier A,5.5625038,Supplier 2,Kolkata,30,791,6,9.0058074,Fail,1.452,0.290,Acceptable,Air,Route B,653.6729946,1897.897352,,
Skincare,SKU40,80.5414242,97,933,5724.9593505,High,Female,90,Medium Stock,20,39,8,On Time,Carrier C,7.2295951,Supplier 1,Kolkata,18,793,1,88.1794071,Pending,4.213,0.843,High Defect,Road,Route A,529.8087240,5629.550348,,
Skincare,SKU41,99.1132916,35,556,5521.2052590,High,Female,64,Medium Stock,19,38,8,On Time,Carrier B,5.7732637,Supplier 4,Chennai,18,892,7,95.3320645,Fail,0.045,0.009,Acceptable,Sea,Route A,275.5243711,5420.099931,,
Skincare,SKU42,46.5291676,98,155,1839.6094259,Low,Female,22,Low Stock,27,57,4,On Time,Carrier C,7.5262483,Supplier 5,Bangalore,26,179,7,96.4228206,Fail,4.939,0.988,High Defect,Road,Route A,635.6571205,1735.660357,,
Haircare,SKU43,11.7432718,6,598,5737.4255991,High,Unknown,36,Low Stock,29,85,9,On Time,Carrier B,3.6940213,Supplier 5,Mumbai,1,206,23,26.2773660,Pending,0.372,0.074,Acceptable,Air,Route A,716.0441198,5707.454212,,
Cosmetics,SKU44,51.3557909,34,919,7152.2860494,High,Female,13,Low Stock,19,72,6,On Time,Carrier C,7.5774497,Supplier 2,Delhi,7,834,18,22.5541066,Fail,2.963,0.593,High Defect,Rail,Route A,610.4532696,7122.154493,,
Haircare,SKU45,33.7841380,1,24,5267.9568075,High,Male,93,Medium Stock,7,52,6,On Time,Carrier B,5.2151550,Supplier 2,Chennai,25,794,25,66.3125444,Pass,3.220,0.644,High Defect,Rail,Route A,495.3056970,5196.429108,,
Haircare,SKU46,27.0822072,75,859,2556.7673606,Medium,Non-Binary,92,Medium Stock,29,6,8,On Time,Carrier B,4.0709558,Supplier 3,Chennai,18,870,23,77.3223532,Pending,3.649,0.730,High Defect,Road,Route B,380.4359371,2475.374052,,
Skincare,SKU47,95.7121359,93,910,7089.4742499,High,Male,4,Low Stock,15,51,9,On Time,Carrier B,8.9787508,Supplier 1,Kolkata,10,964,20,19.7129929,Pending,0.381,0.076,Acceptable,Rail,Route A,581.6023551,7060.782506,,
Haircare,SKU48,76.0355444,28,29,7397.0710046,High,Non-Binary,30,Low Stock,16,9,3,On Time,Carrier C,7.0958332,Supplier 2,Mumbai,9,109,18,23.1263636,Fail,1.698,0.340,Acceptable,Rail,Route B,768.6519140,7366.848808,,
Cosmetics,SKU49,78.8979132,19,99,8001.6132065,High,Unknown,97,Medium Stock,24,9,6,On Time,Carrier C,2.5056210,Supplier 5,Delhi,28,177,28,14.1478154,Pass,2.826,0.565,High Defect,Rail,Route A,336.8901685,7984.959770,,
Cosmetics,SKU50,14.2034843,91,633,5910.8853897,High,Female,31,Low Stock,23,82,10,On Time,Carrier A,6.2478609,Supplier 2,Delhi,20,306,21,45.1787579,Fail,4.755,0.951,High Defect,Rail,Route B,496.2486503,5859.458771,,
Haircare,SKU51,26.7007610,61,154,9866.4654580,High,Male,100,Well Stocked,4,52,1,On Time,Carrier A,4.7830006,Supplier 5,Bangalore,18,673,28,14.1903283,Pending,1.773,0.355,Acceptable,Road,Route A,694.9823176,9847.492129,,
Skincare,SKU52,98.0318297,1,820,9435.7626089,High,Male,64,Medium Stock,11,11,1,On Time,Carrier B,8.6310522,Supplier 1,Mumbai,10,727,27,9.1668491,Pending,2.122,0.424,Acceptable,Air,Route C,602.8984988,9417.964708,,
Skincare,SKU53,30.3414707,93,242,8232.3348294,High,Male,96,Medium Stock,25,54,3,On Time,Carrier B,1.0134866,Supplier 1,Delhi,1,631,17,83.3440590,Pending,1.410,0.282,Acceptable,Air,Route B,750.7378407,8147.977284,,
Haircare,SKU54,31.1462432,11,622,6088.0214799,High,Non-Binary,33,Low Stock,22,61,3,On Time,Carrier B,4.3051035,Supplier 1,Kolkata,26,497,29,30.1860234,Pass,2.479,0.496,Acceptable,Road,Route B,814.0699966,6053.530353,,
Haircare,SKU55,79.8550583,16,701,2925.6751703,Medium,Male,97,Medium Stock,11,11,5,On Time,Carrier A,5.0143650,Supplier 2,Delhi,27,918,5,30.3235453,Fail,4.549,0.910,High Defect,Sea,Route B,323.0129280,2890.337260,,
Skincare,SKU56,20.9863860,90,93,4767.0204843,Medium,Non-Binary,25,Low Stock,23,83,5,On Time,Carrier C,1.7744297,Supplier 1,Mumbai,24,826,28,12.8362846,Pass,1.174,0.235,Acceptable,Air,Route B,832.2108087,4752.409770,,
Haircare,SKU57,49.2632054,65,227,1605.8669004,Low,Unknown,5,Low Stock,18,51,1,On Time,Carrier B,9.1605585,Supplier 2,Delhi,21,588,25,67.7796230,Pending,2.511,0.502,High Defect,Rail,Route A,482.1912386,1528.926719,,
Skincare,SKU58,59.8415614,81,896,2021.1498103,Medium,Non-Binary,10,Low Stock,5,44,7,Delayed,Carrier A,4.9384386,Supplier 3,Delhi,18,396,7,65.0474151,Fail,1.730,0.346,Acceptable,Road,Route B,110.3643352,1951.163957,,
Cosmetics,SKU59,63.8283983,30,484,1061.6185230,Low,Non-Binary,100,Well Stocked,16,26,7,On Time,Carrier B,7.2937226,Supplier 1,Kolkata,11,176,4,1.9007622,Fail,0.447,0.089,Acceptable,Air,Route A,312.5742736,1052.424038,,
Skincare,SKU60,17.0280279,16,380,8864.0843496,High,Female,41,Low Stock,27,72,8,On Time,Carrier C,4.3813682,Supplier 4,Mumbai,29,929,24,87.2130578,Fail,2.853,0.571,High Defect,Rail,Route A,430.1690970,8772.489924,,
Haircare,SKU61,52.0287499,23,117,6885.5893509,High,Unknown,32,Low Stock,23,36,7,On Time,Carrier C,9.0303404,Supplier 4,Kolkata,14,480,12,78.7023940,Fail,4.367,0.873,High Defect,Air,Route A,164.3665282,6797.856617,,
Cosmetics,SKU62,72.7963540,89,270,3899.7468337,Medium,Unknown,86,Medium Stock,2,40,7,Delayed,Carrier C,7.2917014,Supplier 2,Mumbai,13,751,14,21.0486427,Pass,1.874,0.375,Acceptable,Sea,Route C,320.8465158,3871.406490,,
Skincare,SKU63,13.0173768,55,246,4256.9491409,Medium,Non-Binary,54,Medium Stock,19,10,4,On Time,Carrier A,2.4579335,Supplier 3,Bangalore,18,736,10,20.0750040,Pending,3.633,0.727,High Defect,Sea,Route A,687.2861779,4234.416203,,
Skincare,SKU64,89.6340956,11,134,8458.7308784,High,Female,73,Medium Stock,27,75,6,On Time,Carrier C,4.5853535,Supplier 1,Delhi,17,328,6,8.6930424,Fail,0.159,0.032,Acceptable,Air,Route C,771.2250847,8445.452482,,
Skincare,SKU65,33.6977172,72,457,8354.5796865,High,Male,57,Medium Stock,24,54,8,On Time,Carrier C,6.5805413,Supplier 5,Kolkata,16,358,21,1.5972227,Fail,4.911,0.982,High Defect,Rail,Route C,555.8591037,8346.401922,,
Skincare,SKU66,26.0348698,52,704,8367.7216180,High,Female,13,Low Stock,17,19,8,On Time,Carrier A,2.2161427,Supplier 5,Kolkata,24,867,28,42.0844367,Fail,3.448,0.690,High Defect,Road,Route A,393.8433486,8323.421039,,
Skincare,SKU67,87.7554324,16,513,9473.7980325,High,Unknown,12,Low Stock,9,71,9,On Time,Carrier C,9.1478115,Supplier 1,Mumbai,10,198,11,7.0578761,Pass,0.132,0.026,Acceptable,Sea,Route C,169.2718014,9457.592345,,
Haircare,SKU68,37.9318124,29,163,3550.2184328,Medium,Non-Binary,0,Low Stock,8,58,8,On Time,Carrier B,1.1942519,Supplier 2,Bangalore,2,375,18,97.1135816,Fail,1.983,0.397,Acceptable,Rail,Route A,299.7063031,3451.910599,,
Skincare,SKU69,54.8655285,62,511,1752.3810875,Low,Non-Binary,95,Medium Stock,1,27,3,Delayed,Carrier B,9.7052868,Supplier 4,Kolkata,9,862,7,77.6277658,Pending,1.362,0.272,Acceptable,Air,Route A,207.6632062,1665.048035,,
Haircare,SKU70,47.9145418,90,32,7014.8879872,High,Female,10,Low Stock,12,22,4,On Time,Carrier B,6.3157178,Supplier 1,Bangalore,22,775,16,11.4407818,Pass,1.831,0.366,Acceptable,Road,Route C,183.2728987,6997.131488,,
Cosmetics,SKU71,6.3815332,14,637,8180.3370854,High,Female,76,Medium Stock,2,26,6,Delayed,Carrier A,9.2281903,Supplier 2,Bangalore,2,258,10,30.6616775,Pending,2.079,0.416,Acceptable,Road,Route A,405.1670679,8140.447218,,
Cosmetics,SKU72,90.2044275,88,478,2633.1219813,Medium,Non-Binary,57,Medium Stock,29,77,9,On Time,Carrier A,6.5996142,Supplier 1,Bangalore,21,152,11,55.7604929,Pending,3.213,0.643,High Defect,Rail,Route B,677.9445698,2570.761874,,
Cosmetics,SKU73,83.8510177,41,375,7910.8869161,High,Male,17,Low Stock,25,66,5,On Time,Carrier B,1.5129368,Supplier 4,Chennai,13,444,4,46.8702388,Fail,4.621,0.924,High Defect,Road,Route A,866.4728001,7862.503741,,
Haircare,SKU74,3.1700114,64,904,5709.9452960,High,Female,41,Low Stock,6,1,5,On Time,Carrier A,5.2376547,Supplier 4,Delhi,1,919,9,80.5808522,Fail,0.397,0.079,Acceptable,Rail,Route A,341.5526568,5624.126789,,
Skincare,SKU75,92.9968842,29,106,1889.0735898,Low,Non-Binary,16,Low Stock,20,56,10,On Time,Carrier C,2.4738978,Supplier 1,Chennai,25,759,11,48.0647826,Pass,2.030,0.406,Acceptable,Air,Route C,873.1296480,1838.534909,,
Haircare,SKU76,69.1087995,23,241,5328.3759843,High,Male,38,Low Stock,1,22,10,Delayed,Carrier A,7.0545383,Supplier 2,Bangalore,25,985,24,64.3235978,Pending,2.180,0.436,Acceptable,Rail,Route A,997.4134501,5256.997848,,
Haircare,SKU77,57.4497430,14,359,2483.7601775,Medium,Unknown,96,Medium Stock,28,57,4,On Time,Carrier B,6.7809466,Supplier 1,Kolkata,26,334,5,42.9524447,Pass,3.055,0.611,High Defect,Road,Route B,852.5680989,2434.026786,,
Haircare,SKU78,6.3068832,50,946,1292.4584179,Low,Unknown,5,Low Stock,4,51,5,Delayed,Carrier B,8.4670498,Supplier 5,Mumbai,25,858,21,71.1265147,Pending,4.097,0.819,High Defect,Sea,Route C,323.5922034,1212.864853,,
Haircare,SKU79,57.0570312,56,198,7888.7232684,High,Non-Binary,31,Low Stock,25,20,1,On Time,Carrier B,6.4963254,Supplier 3,Bangalore,5,228,12,57.8709029,Pending,0.166,0.033,Acceptable,Air,Route C,351.5042193,7824.356040,,
Skincare,SKU80,91.1283184,75,872,8651.6726830,High,Unknown,39,Low Stock,14,41,2,On Time,Carrier C,2.8331847,Supplier 3,Chennai,8,202,5,76.9612280,Fail,2.850,0.570,High Defect,Sea,Route B,787.7798505,8571.878270,,
Haircare,SKU81,72.8192069,9,774,4384.4134000,Medium,Unknown,48,Low Stock,6,8,5,On Time,Carrier B,4.0662775,Supplier 3,Delhi,28,698,1,19.7895929,Pending,2.548,0.510,High Defect,Rail,Route B,276.7783359,4360.557530,,
Skincare,SKU82,17.0349307,13,336,2943.3818676,Medium,Unknown,42,Low Stock,19,72,1,On Time,Carrier A,4.7081819,Supplier 2,Mumbai,6,955,26,4.4652784,Pending,4.138,0.828,High Defect,Road,Route C,589.9785556,2934.208407,,
Haircare,SKU83,68.9112462,82,663,2411.7546321,Medium,Unknown,65,Medium Stock,24,7,8,On Time,Carrier B,4.9498396,Supplier 1,Bangalore,20,443,5,97.7305938,Fail,0.773,0.155,Acceptable,Road,Route A,682.9710182,2309.074199,,
Haircare,SKU84,89.1043673,99,618,2048.2900998,Medium,Unknown,73,Medium Stock,26,80,10,On Time,Carrier A,8.3816156,Supplier 5,Chennai,24,589,22,33.8086365,Pass,4.843,0.969,High Defect,Air,Route B,465.4570060,2006.099848,,
Cosmetics,SKU85,76.9629944,83,25,8684.6130593,High,Female,15,Low Stock,18,66,2,On Time,Carrier C,8.2491687,Supplier 5,Chennai,4,211,2,69.9293455,Fail,1.374,0.275,Acceptable,Road,Route B,842.6868300,8606.434545,,
Skincare,SKU86,19.9981769,18,223,1229.5910286,Low,Unknown,32,Low Stock,14,22,6,On Time,Carrier B,1.4543053,Supplier 1,Mumbai,4,569,18,74.6089700,Pass,2.052,0.410,Acceptable,Rail,Route A,264.2548898,1153.527753,,
Haircare,SKU87,80.4140367,24,79,5133.8467011,High,Male,5,Low Stock,7,55,10,Delayed,Carrier A,6.5758038,Supplier 3,Chennai,27,523,17,28.6969968,Fail,3.694,0.739,High Defect,Sea,Route B,879.3592177,5098.573900,,
Cosmetics,SKU88,75.2704070,58,737,9444.7420331,High,Male,60,Medium Stock,18,85,7,On Time,Carrier A,3.8012531,Supplier 2,Mumbai,21,953,11,68.1849191,Pending,0.722,0.144,Acceptable,Sea,Route A,103.9162480,9372.755861,,
Cosmetics,SKU89,97.7600856,10,134,5924.6825669,High,Unknown,90,Medium Stock,1,27,8,Delayed,Carrier B,9.9298162,Supplier 1,Kolkata,23,370,11,46.6038734,Pending,1.908,0.382,Acceptable,Rail,Route B,517.4999739,5868.148877,,
Skincare,SKU90,13.8819135,56,320,9592.6335703,High,Non-Binary,66,Medium Stock,18,96,7,On Time,Carrier B,7.6744307,Supplier 3,Bangalore,8,585,8,85.6759633,Pass,1.219,0.244,Acceptable,Rail,Route B,990.0784725,9499.283176,,
Cosmetics,SKU91,62.1119655,90,916,1935.2067935,Low,Male,98,Medium Stock,22,85,7,On Time,Carrier B,7.4715141,Supplier 4,Delhi,5,207,28,39.7728825,Pending,0.626,0.125,Acceptable,Rail,Route B,996.7783150,1887.962397,,
Cosmetics,SKU92,47.7142331,44,276,2100.1297546,Medium,Male,90,Medium Stock,25,10,8,On Time,Carrier B,4.4695000,Supplier 2,Mumbai,4,671,29,62.6126904,Pass,0.333,0.067,Acceptable,Rail,Route B,230.0927825,2033.047564,,
Haircare,SKU93,69.2908310,88,114,4531.4021337,Medium,Unknown,63,Medium Stock,17,66,1,On Time,Carrier C,7.0064321,Supplier 4,Chennai,21,824,20,35.6336523,Fail,4.166,0.833,High Defect,Air,Route A,823.5238459,4488.762049,,
Cosmetics,SKU94,3.0376887,97,987,7888.3565467,High,Unknown,77,Medium Stock,26,72,9,On Time,Carrier B,6.9429459,Supplier 2,Delhi,12,908,14,60.3873786,Pass,1.464,0.293,Acceptable,Rail,Route B,846.6652570,7821.026222,,
Haircare,SKU95,77.9039272,65,672,7386.3639440,High,Unknown,15,Low Stock,14,26,9,On Time,Carrier B,8.6303389,Supplier 4,Mumbai,18,450,26,58.8906858,Pending,1.211,0.242,Acceptable,Air,Route A,778.8642414,7318.842919,,
Cosmetics,SKU96,24.4231314,29,324,7698.4247656,High,Non-Binary,67,Medium Stock,2,32,3,Delayed,Carrier C,5.3528780,Supplier 3,Mumbai,28,648,28,17.8037563,Pending,3.872,0.774,High Defect,Road,Route A,188.7421411,7675.268131,,
Haircare,SKU97,3.5261113,56,62,4370.9165800,Medium,Male,46,Low Stock,19,4,9,On Time,Carrier A,7.9048456,Supplier 4,Mumbai,10,535,13,65.7651559,Fail,3.376,0.675,High Defect,Road,Route A,540.1324229,4297.246578,,
Skincare,SKU98,19.7546049,43,913,8525.9525597,High,Female,53,Medium Stock,1,27,7,Delayed,Carrier B,1.4098011,Supplier 5,Chennai,28,581,9,5.6046909,Pending,2.908,0.582,High Defect,Rail,Route A,882.1988635,8518.938068,,
Haircare,SKU99,68.5178327,17,627,9185.1858292,High,Unknown,55,Medium Stock,8,59,6,On Time,Carrier B,1.3110238,Supplier 2,Chennai,29,921,2,38.0728985,Fail,0.346,0.069,Acceptable,Rail,Route B,210.7430090,9145.801907,,
